title,genres,type,developer,publisher,user_rating,metacritic_score
Atelier Ayesha: The Alchemist of Dusk,RPG,,Gust,Koei Tecmo,0.0,73
Warlock 2: The Exiled,Strategy,"Singleplayer, Multiplayer",Ino-Co Plus,Paradox Interactive,3.2,73
Banished,"Strategy, Simulation, Indie",Singleplayer,Shining Rock Software,Shining Rock Software,3.89,73
The Room,"Indie, Puzzle",Singleplayer,Fireproof Games,"Team17 Digital, Fireproof Games",4.23,73
Disney•Pixar Toy Story 3: The Video Game,"Action, Adventure, Arcade, Family",Singleplayer,"Disney Interactive Studios, Avalanche Software",Disney Interactive,3.85,73
Lords of the Fallen (2014),"Action, Adventure, RPG","Singleplayer, Multiplayer, Cross-Platform Multiplayer","City Interactive, CI Games, Deck 13, HEXWORKS, Octopus Games","Square Enix, CI Games",2.91,73
Black The Fall,"Action, Indie",Singleplayer,"Square Enix, Sand Sailor Studio","Square Enix, Sand Sailor Studio",3.1,73
Killzone Shadow Fall,Shooter,,Guerrilla Games,Sony Computer Entertainment,3.16,73
Warframe,"Action, Shooter, RPG, Massively Multiplayer","Singleplayer, Multiplayer","Digital Extremes, Panic Button",Digital Extremes,3.41,73
Freeze!,"Arcade, Casual, Puzzle",,"Frozen Gun Games, Andreas von Lepel",Andreas von Lepel,0.0,73
Pier Solar and the Great Architects,RPG,"Singleplayer, Multiplayer","WaterMelon, WATERMELON CO.",WaterMelon,2.9,73
Unstoppable Gorg,"Action, Strategy, Casual, Indie",Singleplayer,"Futuremark, Futuremark Oy","Futuremark, Futuremark Oy",2.31,73
Blackwell Deception,"Adventure, Indie",Singleplayer,Wadjet Eye Games,Wadjet Eye Games,3.9,73
CastleStorm,"Action, Strategy, Indie","Singleplayer, Multiplayer, Local Multiplayer",Zen Studios,"Microsoft Studios, Zen Studios",2.86,73
Kinect Sports,"Sports, Family",,Rare,Microsoft Game Studios,3.29,73
Happy Wheels,"Action, Racing",,"Jim Bonacci, James Bonacci",Jim Bonacci,3.77,73
STEINS;GATE: My Darling's Embrace,"Adventure, RPG",Singleplayer,MAGES,"Spike Chunsoft Co, MAGES",4.33,73
Resonance of Fate,RPG,,"SEGA, Tri-Ace",SEGA,3.67,73
SkyDrift,"Action, Racing, Indie","Singleplayer, Multiplayer",Digital Reality,"THQ Nordic, Bandai Namco Entertainment, HandyGames",2.86,73
Epic Mickey,"Adventure, RPG, Platformer",,Junction Point Studios,Disney Interactive,4.18,73
Mario Party 9,Board Games,,NDCube,Nintendo,3.16,73
Pandora's Tower,"Action, RPG",,"Ganbarion, GANBARION CO.",XSEED Games,4.4,73
Syndicate (2012),"Action, Shooter",,"Electronic Arts, Starbreeze Studios, EAP",Electronic Arts,3.59,73
inFAMOUS: First Light,Action,,Sucker Punch Productions,Sony Computer Entertainment,3.72,73
The Elder Scrolls V: Skyrim - Dawnguard,RPG,,Bethesda Game Studios,Bethesda Softworks,4.14,73
Spider-Man: Shattered Dimensions,Action,,"Beenox Studios, Griptonite Games",Activision Blizzard,3.89,73
Alan Wake's American Nightmare,"Action, Shooter",Singleplayer,Remedy Entertainment,"Microsoft Studios, THQ Nordic, Remedy Entertainment",3.41,73
Bloody Good Time,"Action, Shooter","Singleplayer, Multiplayer",Outerlight,Ubisoft Entertainment,2.34,73
Black Desert Online,"Action, Adventure, RPG, Strategy, Simulation, Massively Multiplayer","Multiplayer, Online multiplayer",Pearl Abyss,"GameOn, Kakao Games Europe, RedFox Games",2.91,73
