title,genres,type,developer,publisher,user_rating,metacritic_score
Diluvion,"Action, Adventure, RPG, Indie",Singleplayer,Arachnid Games,"Good Shepherd Entertainment, Gambitious Digital Entertainment",3.0,66
The Escapists: The Walking Dead,"Action, Adventure, RPG, Strategy, Indie, Puzzle","Singleplayer, Multiplayer",Team17 Digital,Team17 Digital,2.8,66
Vikings - Wolves of Midgard,"Action, RPG","Singleplayer, Multiplayer","Kalypso Media, Games Farm",Kalypso Media,3.08,66
Hidden Agenda,"Action, Adventure",,"Supermassive Games, PlayStation Mobile","Sony Interactive Entertainment, PlayStation Mobile",3.31,66
Sunset,"Action, Adventure, Simulation, Casual, Indie",Singleplayer,"Tale of Tales, 906 Games","Tale of Tales, 906 Games",3.5,66
Toy Odyssey: The Lost and Found,"Action, Adventure, Indie",Singleplayer,"HIKER GAMES, Digital Smash, Hikergames","Digital Smash, Hikergames",0.0,66
Last Days of Old Earth,Strategy,"Singleplayer, Multiplayer",Auroch Digital,Slitherine,0.0,66
NASCAR Heat Evolution,Racing,"Singleplayer, Online multiplayer","Monster Games, DMi",Dusenberry Martin Racing,0.0,66
FIVE: Guardians of David,"Action, Adventure, RPG",Singleplayer,Kingdom Games,Kingdom Games,0.0,66
Kung Fu Panda: Showdown of Legendary Legends,Fighting,,Vicious Cycle Software,Little Orbit,2.2,66
Kung Fu Panda Showdown of Legendary Legends,"Action, Fighting","Singleplayer, Multiplayer","Vicious Cycle Software, Little Orbit",Little Orbit,2.88,66
STRAFE,"Action, Shooter, Arcade, Casual, Indie",Singleplayer,"Devolver Digital, Nanovation, Pixel Titans","Devolver Digital, Nanovation",3.01,66
Wolfenstein: Youngblood,"Action, Shooter","Singleplayer, Multiplayer, Online multiplayer","Bethesda Softworks, Arkane Studios, Machine Games",Bethesda Softworks,2.68,66
Planet of the Eyes,"Action, Adventure, Indie",Singleplayer,Cococucumber,Cococucumber,2.81,66
12 is Better Than 6,"Action, Indie",Singleplayer,Ink Stains Games,HypeTrain Digital,3.39,66
Citizens of Earth,RPG,Singleplayer,"Atlus U.S.A, Eden Industries","Atlus, Atlus USA",2.9,66
Need for Speed,"Racing, Arcade","Singleplayer, Multiplayer",Ghost Games,Electronic Arts,3.38,66
Evoland Legendary Edition,"Action, Adventure, RPG, Arcade, Casual, Indie",Singleplayer,Shiro Games,Shiro Games,3.47,66
Sword Art Online: Lost Song,"Action, RPG","Singleplayer, Online multiplayer","BANDAI NAMCO Entertainment America, ARTDINK","Bandai Namco Entertainment, BANDAI NAMCO Entertainment US",3.11,66
Absolute Drift,"Action, Sports, Racing, Indie",Singleplayer,"Noodlecake Studios, FlippFly, Funselektor Labs","Noodlecake Studios, Funselektor Labs",2.9,66
昔:Yesterday,"Strategy, Casual, Indie",Singleplayer,Triple Tree Studio,indienova,0.0,65
Stairs,"Action, Adventure, Arcade, Indie",Singleplayer,"Ketchapp, GreyLight Entertainment",Digital Tribe,3.25,65
DYNASTY WARRIORS 9,"Action, Adventure",,"Koei Tecmo, Omega Force","Koei Tecmo Games, Koei Tecmo",2.34,65
The Hong Kong Massacre,"Action, Shooter, Indie",Singleplayer,VRESKI,"Untold Tales, VRESKI",3.29,65
Cradle,"Adventure, Indie",Singleplayer,Flying Cafe for Semianimals,Flying Cafe for Semianimals,3.8,65
Darksiders III,"Action, Adventure, RPG",Singleplayer,"THQ Nordic, Gunfire Games",THQ Nordic,3.44,65
Blair Witch,"Action, Adventure, Indie",Singleplayer,Bloober Team,"Bloober Team, Lionsgate",3.18,65
Gekido Kintaro's Revenge,"Action, Fighting, Indie","Singleplayer, Multiplayer, Local Multiplayer","Naps Team, Na.p.s. Team s.n.c.",Naps Team,0.0,65
The Crow's Eye,"Adventure, Indie, Puzzle",Singleplayer,"3D2Entertainment, 3D2 Entertainment","Akupara Games, Nkidu Games",0.0,65
Ash of Gods,"Action, Adventure, RPG, Strategy, Indie","Singleplayer, Multiplayer, Online multiplayer",AurumDust,"WhisperGames, AurumDust",3.68,65
Ash of Gods: Redemption,"RPG, Strategy",,"AurumDust, Aurum Dust","Koch Media, WhisperGames, AurumDust",3.41,65
Outcast - Second Contact,"Action, Adventure",Singleplayer,Appeal,"Infogrames, Bigben Interactive",2.57,65
Rusty Lake Hotel,"Adventure, Indie, Puzzle",Singleplayer,"Rusty Lake, LoyaltyGame","Rusty Lake, LoyaltyGame",3.81,65
Stranded Deep,"Action, Adventure, Indie","Singleplayer, co-op multiplayer","Telltale Games, Beam Team Games",Beam Team,3.0,65
Baldur's Gate III,"Adventure, RPG, Strategy","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer, Cross-Platform Multiplayer",Larian Studios,Larian Studios,4.43,97
The Legend of Zelda: Tears of the Kingdom,"Action, Adventure","Singleplayer, Single player only",Nintendo,Nintendo,4.38,96
Elden Ring,"Action, RPG","Singleplayer, Multiplayer",FromSoftware,"Bandai Namco Entertainment, FromSoftware",4.39,95
Persona 5 Royal,"Adventure, RPG",Singleplayer,Atlus,"SEGA, Atlus",4.76,94
Half-Life: Alyx,"Action, Shooter, Adventure",Singleplayer,Valve Software,Valve,4.36,93
Hades,"Action, Adventure, RPG, Indie",Singleplayer,Supergiant Games,Supergiant Games,4.43,93
The Last of Us Part II,"Action, Shooter, Adventure",Singleplayer,Naughty Dog,Sony Interactive Entertainment,4.41,93
Demon's Souls (2020),"Action, RPG",,"Bluepoint Games, Japan Studio",Sony Interactive Entertainment,4.44,92
A Monster's Expedition,"Adventure, Strategy, Casual, Indie, Puzzle",Singleplayer,"Draknek & Friends, Draknek",Draknek,3.93,92
Ori and the Will of the Wisps,"Action, Adventure, Platformer",Singleplayer,Moon Studios,"Microsoft Studios, Xbox Game Studios",4.43,91
Microsoft Flight Simulator 2020,Simulation,"Singleplayer, Multiplayer","Asobo Studio, Microsoft Game Studios","Microsoft Studios, Xbox Game Studios",4.14,90
Sea of Stars,RPG,Singleplayer,Sabotage Studio,,4.3,90
Animal Crossing: New Horizons,Simulation,Singleplayer,Nintendo,Nintendo,4.31,90
Spelunky 2,"Action, Indie, Platformer","Singleplayer, Multiplayer, 4 Player Local","BlitWorks, Mossmouth",Mossmouth,3.88,90
Diablo IV,"Action, RPG","Singleplayer, Multiplayer, Cross-Platform Multiplayer",Activision Blizzard,"Activision Blizzard, Blizzard Entertainment",3.75,90
Tetris Effect: Connected,"Casual, Indie, Puzzle","Singleplayer, Multiplayer, Local Multiplayer, Cross-Platform Multiplayer","Monstars, Resonair, Stage Games",Enhance,4.22,90
The Stanley Parable: Ultra Deluxe,"Adventure, Casual, Indie",Singleplayer,Crows Crows Crows,Crows Crows Crows,4.37,90
Disco Elysium: Final Cut,"Adventure, RPG",,ZA/UM,,4.66,90
League of Legends: Wild Rift,"Action, Strategy",,Riot Games,Riot Games,3.86,89
Chained Echoes,"RPG, Indie",Singleplayer,Matthias Linda,Deck13,4.37,89
Xenoblade Chronicles: Definitive Edition,RPG,,,Nintendo,4.31,89
Gravity Circuit,"Action, Indie",Singleplayer,"Domesticated Ants, Domesticated Ant Games","Plug In Digital, PID Games",3.88,89
Dreams,"Action, Adventure, Puzzle",,Media Molecule,Sony Interactive Entertainment,4.09,89
Cuphead: The Delicious Last Course,Platformer,,Studio MDHR,StudioMDHR Entertainment,4.51,89
Chicory: A Colorful Tale,"Adventure, RPG, Indie","Singleplayer, Multiplayer, Local Multiplayer","Finji, Greg Lobanov",Greg Lobanov,3.92,89
Super Mario 3D World + Bowser’s Fury,"Action, Platformer","Singleplayer, Multiplayer, Local Multiplayer",Nintendo,Nintendo,4.39,89
Mortal Kombat 11 Ultimate,"Action, Fighting",Multiplayer,NetherRealm Studios,Warner Bros. Interactive,4.06,89
Legends of Runeterra,"Strategy, Card",Multiplayer,Riot Games,Riot Games,3.65,88
Deathloop,"Action, RPG","Singleplayer, Multiplayer",Arkane Studios,Bethesda Softworks,3.96,88
It Takes Two,"Action, Adventure, Platformer",Multiplayer,Hazelight,Electronic Arts,4.46,88
Ratchet & Clank: Rift Apart,"Action, Adventure",Singleplayer,"Insomniac Games, Nixxes software","Sony Interactive Entertainment, PlayStation PC",4.39,88
Psychonauts 2,"Action, Adventure, Platformer",Singleplayer,"Double Fine Productions, Starbreeze Studios","Xbox Game Studios, Double Fine Productions",4.38,88
Pikmin 4,Strategy,,Nintendo,Nintendo,4.22,88
Tony Hawk's Pro Skater 1 + 2,"Sports, Arcade","Singleplayer, Multiplayer","Vicarious Visions, Iron Galaxy Studios","Activision Blizzard, Activision Value Publishing",4.29,88
F1 2020,"Sports, Racing","Singleplayer, Multiplayer",Codemasters,Codemasters,3.58,88
Final Fantasy XVI,"Action, RPG",Singleplayer,Square Enix,Square Enix,4.14,88
Mass Effect: Legendary Edition,"Action, Shooter, Adventure, RPG",Singleplayer,"BioWare, EA Swiss",Electronic Arts,4.57,88
There Is No Game: Wrong Dimension,"Adventure, Casual, Indie, Puzzle",Singleplayer,Draw Me A Pixel,Draw Me A Pixel,4.35,88
Rogue Legacy 2,"Action, Adventure, RPG, Indie",Singleplayer,Cellar Door Games,Cellar Door Games,3.99,88
Neon White,"Action, Shooter, Adventure, Indie",Singleplayer,"Ben Esposito, Angel Matrix",Annapurna Interactive,4.36,88
Starfield,"Adventure, RPG","Singleplayer, Multiplayer",Bethesda Game Studios,Bethesda Softworks,3.25,88
The Nioh Collection,"Action, RPG",,Team NINJA,Koei Tecmo,0.0,87
Monster Hunter Rise,"Action, RPG","Singleplayer, Multiplayer",Capcom,Capcom,4.21,87
Final Fantasy VII,"Action, Adventure, RPG",Singleplayer,Square Enix,Square Enix,4.37,87
Monster Train,"Strategy, Card","Singleplayer, Multiplayer","Good Shepherd Entertainment, Shiny Shoe","Good Shepherd Entertainment, Gambitious",4.08,86
Overcooked! All You Can Eat,"Action, Strategy, Simulation, Casual, Family, Indie","Singleplayer, Multiplayer, Local Multiplayer, Cross-Platform Multiplayer, 4 Player Local","Team17 Digital, Ghost Town Games",Team17 Digital,4.21,86
Inscryption,"Adventure, Strategy, Indie",Singleplayer,Daniel Mullins Games,Devolver Digital,4.39,86
Bayonetta 3,Action,,Platinum Games,Nintendo,4.25,86
Until You Fall,"Action, Adventure, Indie",Singleplayer,Schell Games,Schell Games,3.48,86
Crusader Kings III,"RPG, Strategy, Simulation","Singleplayer, Multiplayer, Online multiplayer",Paradox Developement Studios,Paradox Interactive,4.31,86
Devil May Cry 5 Special Edition,"Action, Adventure",,Capcom U.S.A,Capcom,4.21,86
Tunic,"Action, Adventure, Indie",Singleplayer,"ISOMETRICORP Games, Andrew Shouldice",Finji,4.11,86
Black Mesa,"Action, Shooter, Indie","Singleplayer, Multiplayer, Online multiplayer, Cross-Platform Multiplayer",Crowbar Collective,Crowbar Collective,4.34,86
Horizon Forbidden West,"Action, Adventure, RPG",Singleplayer,Guerrilla Games,"Sony Computer Entertainment, Sony Interactive Entertainment",4.2,86
Teenage Mutant Ninja Turtles: Shredder's Revenge,"Action, Adventure, Arcade, Casual, Fighting, Indie","Singleplayer, Multiplayer",Tribute Games,"DotEmu, Gamera Games",4.07,86
Marvel's Spider-Man: Miles Morales,Action,"Singleplayer, Multiplayer",Insomniac Games,"Sony Interactive Entertainment, PlayStation PC",4.26,86
The Last Friend,"Strategy, Indie",Singleplayer,The Stonebot Studio,Ludus Games,0.0,86
Ender Lilies: Quietus of the Knights,"Action, RPG, Indie, Platformer",Singleplayer,"Live Wire, adglobe",Binary Haze Interactive,3.99,86
Nioh 2 – The Complete Edition,"Action, RPG","Singleplayer, Multiplayer","Team NINJA, KOEI TECMO GAMES CO",Koei Tecmo Games,4.05,86
DOOM Eternal,"Action, Shooter","Singleplayer, Multiplayer, Online multiplayer","Bethesda Softworks, id Software, Bethesda Game Studios, Panic Button, Virtuos, Nerve Software",Bethesda Softworks,4.37,86
Returnal,"Action, Shooter","Singleplayer, Multiplayer","Housemarque, Climax Studios","Sony Interactive Entertainment, PlayStation PC",4.16,86
Resident Evil 4 (VR),Adventure,Singleplayer,"Capcom, Armature Studio","Capcom, Oculus Studios",3.83,85
Yakuza: Like a Dragon,"Action, Adventure, RPG",Singleplayer,"SEGA, Ryu ga Gotoku Studio",SEGA,4.35,85
Unsighted,"Action, Adventure, RPG, Indie","Singleplayer, Local Multiplayer",Studio Pixel Punk,"Humble Games, Studio Pixel Punk",4.17,85
Pikmin 3 Deluxe,"Action, Adventure, Strategy",,Nintendo,Nintendo,4.1,85
Guilty Gear -Strive,"Action, Fighting","Singleplayer, Multiplayer, Local Multiplayer","Arc System Works, Arc System Works Co.","Arc System Works, Arc System Works Co.",4.28,85
HUNTDOWN,"Action, Indie","Singleplayer, Multiplayer, Local Multiplayer","Coffee Stain Publishing, Easy Trigger Games, Easy Trigger","Coffee Stain Studios, Coffee Stain",4.34,85
Total War: WARHAMMER III,"Action, Strategy","Singleplayer, Multiplayer",Creative Assembly,"SEGA, Feral Interactive",4.03,85
Nioh 2,Action,,Team NINJA,"Sony Interactive Entertainment, Koei Tecmo",3.97,85
A Space for the Unbound,"Adventure, Indie",Singleplayer,Mojiken,Toge Productions,4.45,85
Tales of Arise,"Action, RPG","Singleplayer, Multiplayer",Bandai Namco Entertainment,Bandai Namco Entertainment,3.92,85
If Found...,"Adventure, Casual, Indie",Singleplayer,"Annapurna Interactive, dreamfeel",Annapurna Interactive,4.16,84
Humanity,"Action, Strategy, Casual, Indie, Puzzle",Singleplayer,"Enhance Games, tha","Enhance, Enhance Games",3.81,84
Unpacking,Casual,Singleplayer,Witch Beam,"Humble Games, Witch Beam",4.05,84
Labyrinth of Galleria: The Moon Society,RPG,Singleplayer,Nippon Ichi Software,,0.0,84
Streets of Rage 4,"Action, Adventure, Fighting, Indie","Singleplayer, Multiplayer","Playdigious, DotEmu, Lizardcube, Guard Crush Games","Playdigious, DotEmu",4.07,84
Desperados III,"Action, Strategy",Singleplayer,Mimimi Productions,THQ Nordic,4.34,84
Halo Infinite,"Action, Shooter, Adventure","Singleplayer, Multiplayer",343 Industries,"Microsoft Studios, Xbox Game Studios",3.65,84
Shin Megami Tensei V: Vengeance,"Action, Adventure, RPG",,Atlus,Atlus,4.12,84
Crash Bandicoot 4: It’s About Time,"Action, Platformer",Singleplayer,"Beenox, Toys for Bob, Iron Galaxy Studios, Activision Shanghai, Hardsuit Labs","Activision Blizzard, Activision Value Publishing",3.93,84
Paradise Killer,"Adventure, RPG, Indie",Singleplayer,Kaizen Game Works,Fellow Traveller,3.86,84
TRIANGLE STRATEGY,"Adventure, RPG, Strategy, Simulation",Singleplayer,"Square Enix, ARTDINK","Square Enix, Nintendo",4.25,84
Spiritfarer,"Adventure, Simulation, Indie",Singleplayer,Thunder Lotus Games,Thunder Lotus Games,4.12,84
Gran Turismo 7,Racing,,Polyphony Digital,Sony Interactive Entertainment,4.18,84
Deep Rock Galactic,"Action, Indie","Singleplayer, Multiplayer, Online multiplayer",Ghost Ship Games,Coffee Stain Studios,4.11,84
Sunlight,"Adventure, Indie",Singleplayer,Krillbite Studio,Krillbite Studio,3.6,83
Loop Hero,"RPG, Strategy, Simulation, Indie",Singleplayer,Four Quarters,Devolver Digital,4.04,83
Resident Evil: Village,"Action, Adventure","Singleplayer, Multiplayer",Capcom,Capcom,4.38,83
Buried Stars,"Adventure, Casual",Singleplayer,LINE Games,LINE Games,0.0,83
Splatoon 3,"Action, Shooter",,Nintendo,Nintendo,4.37,83
Infernax,"Action, Adventure, RPG, Indie",Singleplayer,Berzerk Studio,Berzerk Studio,3.98,83
Mini Motorways,"Strategy, Simulation, Casual, Indie",Singleplayer,Dinosaur Polo Club,Dinosaur Polo Club,4.16,83
Genshin Impact,"Action, Adventure, RPG","Singleplayer, Multiplayer",miHoYo,miHoYo,3.55,83
Astro's Playroom,"Action, Platformer",,Japan Studio,Sony Interactive Entertainment,4.36,83
Pokémon Legends: Arceus,"Action, Adventure, RPG",,Game Freak,Nintendo,4.01,83
Chicken Police – Paint it RED!,"Action, Adventure",Singleplayer,"Handy Games, The Wild Gentlemen","www.handy-games.com, HandyGames, The Wild Gentlemen",3.81,83
Wasteland 3,"RPG, Strategy",Singleplayer,InXile Entertainment,"Deep Silver, inXile Entertainment",4.07,83
Ghost of Tsushima,"Action, Adventure, RPG",Singleplayer,Sucker Punch Productions,Sony Interactive Entertainment,4.41,83
MLB The Show 20,Sports,Multiplayer,Sony Interactive Entertainment,Sony Interactive Entertainment,3.75,83
Hitman 3,"Action, Shooter, Adventure",Singleplayer,IO Interactive,"IO Interactive A/S, IO Interactive",4.25,83
Astalon: Tears of the Earth,"Action, Adventure",Singleplayer,"LABSWorks, LABS Works",DANGEN Entertainment,4.33,83
Factorio,"Strategy, Simulation, Casual, Indie","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer, Cross-Platform Multiplayer",Wube Software,Wube Software,4.37,83
Umurangi Generation,"Simulation, Casual, Indie",Singleplayer,ORIGAME DIGITAL,"Playism, ORIGAME DIGITAL",3.82,82
Risk of Rain 2,"Action, Shooter, Arcade","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer",Hopoo Games,Gearbox Publishing,4.14,82
Stray,"Action, Adventure, Indie, Puzzle, Platformer",Singleplayer,"BlueTwelve, BlueTwelve Studio",Annapurna Interactive,4.15,82
Little Nightmares II,"Action, Adventure, Platformer",Singleplayer,Tarsier Studios,Bandai Namco Entertainment,4.37,82
The Life and Suffering of Sir Brante - Digital Content Bundle,Adventure,,Sever,101XP,0.0,82
Demeo,"Adventure, RPG, Strategy, Indie","Singleplayer, Multiplayer, Cross-Platform Multiplayer",Resolution Games,Resolution Games,4.14,82
NEO: The World Ends With You,"Action, RPG",Singleplayer,"Square Enix, h.a.n.d.",Square Enix,3.87,82
Before I Forget,"Adventure, Casual, Indie",Singleplayer,"Plug In Digital, 3-Fold Games","Plug In Digital, 3-Fold Games",3.88,82
Football Manager 2021,"Strategy, Simulation, Sports","Singleplayer, Multiplayer",Sports Interactive,SEGA,4.14,82
Shovel Knight Dig,"Action, Adventure, Strategy, Indie, Platformer",Singleplayer,"Yacht Club Games, Nitrome",Yacht Club Games,3.36,82
The Pedestrian,"Adventure, Indie, Puzzle, Platformer",Singleplayer,Skookum Arts,Skookum Arts,4.06,82
Knockout City,"Action, Adventure, Sports, Indie","Multiplayer, Cross-Platform Multiplayer",Velan studios,Electronic Arts,3.15,82
Creaks,"Adventure, Indie, Puzzle",Singleplayer,Amanita Design,Amanita Design,3.92,82
The Last Campfire,"Action, Adventure, Indie",Singleplayer,Hello Games,Hello Games,4.05,82
NieR Replicant v1.22474487139...,"Action, Adventure, RPG",Singleplayer,Toylogic,Square Enix,4.37,82
Will You Snail?,"Action, Indie, Platformer",Singleplayer,Jonas Tyroller,Jonas Tyroller,0.0,82
51 Worldwide Classics,"Board Games, Casual, Family",,Agenda,Nintendo,4.12,82
Disc Room,"Action, Adventure, Indie",Singleplayer,"Terri Vellmann, Doseone, Kitty, Terri, Dose, and JW",Devolver Digital,3.69,82
Super Mario 3D All-Stars,"Action, Platformer",,Nintendo,Nintendo,3.93,82
UnMetal,"Action, Adventure, Indie",Singleplayer,@unepic_fran,"Versus Evil, @unepic_fran",3.68,82
Yakuza 5 Remastered,Action,Singleplayer,Ryu ga Gotoku Studio,SEGA,4.2,82
Gnosia,"Adventure, RPG",Singleplayer,"mebius, Petit Depotto",Playism,4.38,82
Grounded,"Adventure, Indie","Singleplayer, Multiplayer",Obsidian Entertainment,Xbox Game Studios,3.79,82
The Last Spell,"Action, RPG, Strategy, Indie",Singleplayer,"CCCP, Ishtar Games","The Arcade Crew, CCCP",3.85,82
Signalis,"Action, Adventure, Indie",Singleplayer,rose-engine,rose-engine,4.34,82
The Life and Suffering of Sir Brante,"Adventure, RPG, Strategy, Simulation, Indie",Singleplayer,Sever,101XP,4.19,82
Hardspace: Shipbreaker,Simulation,Singleplayer,Blackbird Interactive,"Focus Home Interactive, Focus Entertainment",3.89,82
Tails of Iron,"Action, Adventure, RPG, Indie",Singleplayer,Odd Bug Studio,"CI Games, United Label",3.9,82
Gears 5: Hivebusters,"Action, Shooter",,The Coalition,Xbox Game Studios,3.83,82
Them's Fightin' Herds,"Action, Fighting, Indie","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer",Mane6,"Humble Bundle, Mane6",3.36,82
Everhood,"Action, Adventure, RPG, Indie",Singleplayer,"Chris Nordgren, Jordi Roca, EverhoodDev, Foreign Gnomes","Surefire.Games, Foreign Gnomes",4.18,82
Control Ultimate Edition,"Action, Shooter, Adventure",Singleplayer,Remedy Entertainment,505 Games,4.32,82
Command & Conquer Remastered Collection,Strategy,"Singleplayer, Multiplayer",Petroglyph,Electronic Arts,4.19,82
Assassin's Creed Valhalla,"Action, Adventure, RPG","Singleplayer, Multiplayer",Ubisoft Montreal,Ubisoft Entertainment,3.69,82
Monster Hunter Stories 2: Wings of Ruin,"Adventure, RPG","Singleplayer, Multiplayer",Capcom,Capcom,3.85,82
Pathfinder: Wrath of the Righteous,RPG,Singleplayer,Owlcat Games,"META Publishing, Owlcat Games",4.24,81
Wingspan,"Strategy, Casual, Indie","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer",Monster Couch,"indienova, Monster Couch, Stonemaier Games",3.65,81
Barotrauma,"Action, Strategy, Simulation, Indie","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer","FakeFish, Undertow Games",FakeFish,3.78,81
Ynglet,"Action, Casual, Indie",Singleplayer,"Nifflas' Games, Nifflas Games, Triple Topping, Nifflas","Akupara Games, Triple Topping",0.0,81
Jagged Alliance 3,"Action, Strategy","Singleplayer, Multiplayer",Haemimont Games,THQ Nordic,3.9,81
Alba: A Wildlife Adventure,"Adventure, Casual",Singleplayer,ustwo games,ustwo games,4.17,81
Littlewood,"Adventure, RPG, Casual, Indie",Singleplayer,Sean Young,SmashGames,3.64,81
Kentucky Route Zero,"Adventure, Indie",Singleplayer,"Netflix, Cardboard Computer","Annapurna Interactive, Netflix, Cardboard Computer",3.98,81
Curse of the Dead Gods,"Action, Adventure, RPG",Singleplayer,Passtech Games,Focus Home Interactive,3.63,81
Lost Ark,"RPG, Massively Multiplayer","Singleplayer, Multiplayer",Smilegate Entertainment,"Amazon Games, Mail.Ru Group",3.18,81
Inertial Drift,"Racing, Indie","Singleplayer, Multiplayer",Level 91 Entertainment,PQube,2.96,81
The Legend of Zelda: Skyward Sword HD,"Action, Adventure",,Nintendo,Nintendo,4.35,81
Atelier Ryza 2: Lost Legends & the Secret Fairy,"Adventure, RPG",Singleplayer,"KOEI TECMO GAMES CO, Gust",Koei Tecmo Games,3.61,81
Age of Empires IV,Strategy,"Singleplayer, Multiplayer","Relic Entertainment, World's Edge","Microsoft Studios, Xbox Game Studios",3.89,81
Sackboy: A Big Adventure,"Action, Adventure, Platformer","Singleplayer, Multiplayer",Sumo Digital,PlayStation PC,4.13,81
Trials of Fire,"RPG, Strategy, Indie",Singleplayer,Whatboy Games,Whatboy Games,3.59,81
Gears Tactics,Strategy,Singleplayer,"Splash Damage, The Coalition","Microsoft Studios, Xbox Game Studios",3.88,81
Vitamin Connection,"Action, Adventure, Family",Multiplayer,WayForward Technologies,WayForward,0.0,80
Roundguard,"Action, RPG, Strategy, Casual, Indie",Singleplayer,Wonderbelly Games,"The Quantum Astrophysicists Guild, Wonderbelly Games",3.41,80
Sakuna: Of Rice and Ruin,"Action, Simulation, Indie, Platformer",Singleplayer,Edelweiss,"XSEED Games, Marvelous USA, Marvelous",3.75,80
Old World,"Strategy, Simulation","Singleplayer, Multiplayer, Cross-Platform Multiplayer",Mohawk Games,"Hooded Horse, Mohawk Gaming Enterprises",3.64,80
Syberia: The World Before,Adventure,Singleplayer,"Microids, Koalabs",Microids,3.91,80
Cyber Shadow,"Action, Indie, Platformer",Singleplayer,"Aarne ""MekaSkull"" Hunziker",Yacht Club Games,3.81,80
Atelier Dusk Trilogy Deluxe Pack,"Adventure, RPG",,Gust,"Tecmo Koei America, Koei Tecmo",0.0,80
CLAP HANZ GOL‪F‬,Sports,,Clap Hanz,,0.0,
Saviors of Sapphire Wings / Stranger of Sword City Revisited,RPG,Singleplayer,"Codeglue, Experience",NIS America,0.0,80
Kaze and the Wild Masks,"Action, Adventure, Arcade, Indie, Platformer",Singleplayer,SOEDESCO Publishing,Soedesco,4.0,80
Crown Trick,"Adventure, RPG, Strategy, Indie",Singleplayer,NEXT Studios,NEXT Studios,3.57,80
Boomerang X,"Action, Indie",Singleplayer,DANG!,Devolver Digital,4.19,80
Bravely Default II,"Adventure, RPG",Singleplayer,"Square Enix, Claytechworks",Square Enix,3.64,80
Card Shark,"Adventure, Simulation, Card, Indie",Singleplayer,"Nerial, Laughing Jackal",Devolver Digital,3.96,80
Subnautica: Below Zero,"Adventure, Indie",Singleplayer,Unknown Worlds Entertainment,Unknown Worlds Entertainment,4.0,80
Valorant,"Action, Shooter, Strategy",,Riot Games,Riot Games,3.53,80
Diablo II: Resurrected,"Action, RPG",,Vicarious Visions,"Activision Blizzard, Blizzard Entertainment",4.1,80
The Walking Dead: Saints & Sinners,"Action, Adventure, RPG, Strategy, Simulation, Indie",Singleplayer,Skydance Interactive,Skydance Interactive,3.81,80
The Artful Escape,"Action, Adventure, Indie, Platformer",Singleplayer,Beethoven and Dinosaur,Annapurna Interactive,4.1,80
Heavenly Bodies,"Action, Adventure, Simulation","Singleplayer, Local Multiplayer",2pt Interactive,,3.74,80
Observer: System Redux,"Adventure, Indie",Singleplayer,"Bloober Team, Anshar Studios","Aspyr, Bloober Team",4.08,80
Urban Flow,"Strategy, Simulation, Arcade, Casual, Indie, Puzzle","Singleplayer, Multiplayer, Local Multiplayer, 4 Player Local",Baltoro Games,Baltoro Games,0.0,80
Sam & Max Save The World - Remastered,"Adventure, Puzzle",,Skunkape Games,Skunkape Games,3.69,80
Ghost Song,"Action, Indie",Singleplayer,Old Moon,"Adult Swim Games, Humble Games",3.33,80
UFC 4,Sports,Multiplayer,Electronic Arts,Electronic Arts,3.56,80
Genesis Noir,Adventure,Singleplayer,Feral Cat Den,Fellow Traveller,3.63,80
Fall Guys: Ultimate Knockout,"Action, Sports, Casual, Massively Multiplayer, Indie","Online multiplayer, Cross-Platform Multiplayer",Mediatonic,Devolver Digital,3.74,80
Visage,"Action, Adventure, Simulation, Indie",Singleplayer,SadSquare Studio,SadSquare Studio,3.36,80
SnowRunner,Racing,co-op multiplayer,Saber Interactive,Focus Home Interactive,3.98,80
Resident Evil 3,"Action, Shooter, Adventure","Singleplayer, Multiplayer","Capcom, GOG",Capcom,4.04,80
Fantasian,RPG,,Mistwalker,"Square Enix, MISTWALKER",4.17,80
The Eternal Cylinder,"Action, Adventure",Singleplayer,ACE Team,Good Shepherd Entertainment,3.42,80
Persona 5 Strikers,"Action, Adventure, RPG",Singleplayer,"Atlus, Koei Tecmo, Omega Force","SEGA, Atlus",3.92,80
Paper Mario: The Origami King,"Action, Adventure, RPG",,Intelligent Systems,Nintendo,3.98,80
Skul: The Hero Slayer,"Action, Indie","Singleplayer, Multiplayer",SouthPAW Games,NEOWIZ,3.6,80
UnderMine,"Action, Adventure, RPG, Indie",Singleplayer,"Adam McLellan, Ricardo Chirino, Thorium Entertainment","Adam McLellan, Thorium Entertainment",3.83,80
Eastward,"Adventure, RPG, Indie",Singleplayer,Pixpil,Chucklefish,3.67,80
Prodeus,"Action, Adventure, Indie",Singleplayer,,Humble Games,3.94,80
Hidden Through Time,"Casual, Educational, Puzzle",Singleplayer,"Crazy Monkey Studios, Rogueside","Crazy Monkey Studios, Crazy Monkey, Rogueside",3.76,80
Teardown,"Action, Strategy, Simulation, Indie",Singleplayer,Tuxedo Labs,Tuxedo Labs,4.17,80
